awardYear,category,ageReceivePrize
1901,Chemistry,49
1901,Literature,62
1901,Peace,73
1901,Peace,79
1901,Physics,56
1901,Physiology or Medicine,47
1902,Chemistry,50
1902,Literature,85
1902,Peace,69
1902,Peace,59
1902,Physics,49
1902,Physics,37
1902,Physiology or Medicine,45
1903,Chemistry,44
1903,Literature,71
1903,Peace,75
1903,Physics,51
1903,Physics,44
1903,Physics,36
1903,Physiology or Medicine,43
1904,Chemistry,52
1904,Literature,74
1904,Literature,72
1904,Physics,62
1904,Physiology or Medicine,55
1905,Chemistry,70
1905,Literature,59
1905,Peace,62
1905,Physics,43
1905,Physiology or Medicine,62
1906,Chemistry,54
1906,Literature,71
1906,Peace,48
1906,Physics,50
1906,Physiology or Medicine,63
1906,Physiology or Medicine,54
1907,Chemistry,47
1907,Literature,42
1907,Peace,74
1907,Peace,64
1907,Physics,55
1907,Physiology or Medicine,62
1908,Chemistry,37
1908,Literature,62
1908,Peace,64
1908,Peace,71
1908,Physics,63
1908,Physiology or Medicine,63
1908,Physiology or Medicine,54
1909,Chemistry,56
1909,Literature,51
1909,Peace,80
1909,Peace,57
1909,Physics,35
1909,Physics,59
1909,Physiology or Medicine,68
1910,Chemistry,63
1910,Literature,80
1910,Physics,73
1910,Physiology or Medicine,57
1911,Chemistry,44
1911,Literature,49
1911,Peace,73
1911,Peace,47
1911,Physics,47
1911,Physiology or Medicine,49
1912,Chemistry,41
1912,Chemistry,58
1912,Literature,50
1912,Peace,67
1912,Physics,43
1912,Physiology or Medicine,39
1913,Chemistry,47
1913,Literature,52
1913,Peace,59
1913,Physics,60
1913,Physiology or Medicine,63
1914,Chemistry,46
1914,Physics,35
1914,Physiology or Medicine,38
1915,Chemistry,43
1915,Literature,49
1915,Physics,53
1915,Physics,25
1916,Literature,57
1917,Literature,60
1917,Literature,60
1917,Physics,40
1918,Chemistry,50
1918,Physics,60
1919,Literature,74
1919,Peace,63
1919,Physics,45
1919,Physiology or Medicine,49
1920,Chemistry,56
1920,Literature,61
1920,Peace,69
1920,Physics,59
1920,Physiology or Medicine,46
1921,Chemistry,44
1921,Literature,77
1921,Peace,61
1921,Peace,52
1921,Physics,42
1922,Chemistry,45
1922,Literature,56
1922,Peace,61
1922,Physics,37
1922,Physiology or Medicine,36
1922,Physiology or Medicine,38
1923,Chemistry,54
1923,Literature,58
1923,Physics,55
1923,Physiology or Medicine,32
1923,Physiology or Medicine,47
1924,Literature,57
1924,Physics,38
1924,Physiology or Medicine,64
1925,Chemistry,60
1925,Literature,69
1925,Peace,62
1925,Peace,60
1925,Physics,43
1925,Physics,38
1926,Chemistry,42
1926,Literature,55
1926,Peace,64
1926,Peace,48
1926,Physics,56
1926,Physiology or Medicine,59
1927,Chemistry,50
1927,Literature,68
1927,Peace,86
1927,Peace,69
1927,Physics,35
1927,Physics,58
1927,Physiology or Medicine,70
1928,Chemistry,52
1928,Literature,46
1928,Physics,49
1928,Physiology or Medicine,62
1929,Chemistry,64
1929,Chemistry,56
1929,Literature,54
1929,Peace,73
1929,Physics,37
1929,Physiology or Medicine,71
1929,Physiology or Medicine,68
1930,Chemistry,49
1930,Literature,45
1930,Peace,64
1930,Physics,42
1930,Physiology or Medicine,62
1931,Chemistry,57
1931,Chemistry,47
1931,Literature,67
1931,Peace,71
1931,Peace,69
1931,Physiology or Medicine,48
1932,Chemistry,51
1932,Literature,65
1932,Physics,31
1932,Physiology or Medicine,75
1932,Physiology or Medicine,43
1933,Literature,63
1933,Peace,61
1933,Physics,46
1933,Physics,31
1933,Physiology or Medicine,67
1934,Chemistry,41
1934,Literature,67
1934,Peace,71
1934,Physiology or Medicine,56
1934,Physiology or Medicine,49
1934,Physiology or Medicine,42
1935,Chemistry,35
