awardYear,category,adjustedPrizePerLaureate,adjustedPrizePerLaureateUSD
1901,Chemistry,8567159,998074.0235
1901,Literature,8567159,998074.0235
1901,Peace,4283579.5,499037.0118
1901,Peace,4283579.5,499037.0118
1901,Physics,8567159,998074.0235
1901,Physiology or Medicine,8567159,998074.0235
1902,Chemistry,8059489,938930.4685
1902,Literature,8059489,938930.4685
1902,Peace,4029744.5,469465.2343
1902,Peace,4029744.5,469465.2343
1902,Physics,4029744.5,469465.2343
1902,Physics,4029744.5,469465.2343
1902,Physiology or Medicine,8059489,938930.4685
1903,Chemistry,7795478,908173.187
1903,Literature,7795478,908173.187
1903,Peace,7795478,908173.187
1903,Physics,3897739,454086.5935
1903,Physics,2598492.667,302724.3957
1903,Physics,2598492.667,302724.3957
1903,Physiology or Medicine,7795478,908173.187
1904,Chemistry,7767960,904967.34
1904,Literature,3883980,452483.67
1904,Literature,3883980,452483.67
1904,Peace,7767960,904967.34
1904,Physics,7767960,904967.34
1904,Physiology or Medicine,7767960,904967.34
1905,Chemistry,7615202,887171.033
1905,Literature,7615202,887171.033
1905,Peace,7615202,887171.033
1905,Physics,7615202,887171.033
1905,Physiology or Medicine,7615202,887171.033
1906,Chemistry,7421571,864613.0215
1906,Literature,7421571,864613.0215
1906,Peace,7421571,864613.0215
1906,Physics,7421571,864613.0215
1906,Physiology or Medicine,3710785.5,432306.5108
1906,Physiology or Medicine,3710785.5,432306.5108
1907,Chemistry,7033581,819412.1865
1907,Literature,7033581,819412.1865
1907,Peace,3516790.5,409706.0933
1907,Peace,3516790.5,409706.0933
1907,Physics,7033581,819412.1865
1907,Physiology or Medicine,7033581,819412.1865
1908,Chemistry,7084459,825339.4735
1908,Literature,7084459,825339.4735
1908,Peace,3542229.5,412669.7368
1908,Peace,3542229.5,412669.7368
1908,Physics,7084459,825339.4735
1908,Physiology or Medicine,3542229.5,412669.7368
1908,Physiology or Medicine,3542229.5,412669.7368
1909,Chemistry,7084459,825339.4735
1909,Literature,7084459,825339.4735
1909,Peace,3542229.5,412669.7368
1909,Peace,3542229.5,412669.7368
1909,Physics,3542229.5,412669.7368
1909,Physics,3542229.5,412669.7368
1909,Physiology or Medicine,7084459,825339.4735
1910,Chemistry,7130220,830670.63
1910,Literature,7130220,830670.63
1910,Peace,7130220,830670.63
1910,Physics,7130220,830670.63
1910,Physiology or Medicine,7130220,830670.63
1911,Chemistry,7327865,853696.2725
1911,Literature,7327865,853696.2725
1911,Peace,3663932.5,426848.1363
1911,Peace,3663932.5,426848.1363
1911,Physics,7327865,853696.2725
1911,Physiology or Medicine,7327865,853696.2725
1912,Chemistry,3376827,393400.3455
1912,Chemistry,3376827,393400.3455
1912,Literature,6753654,786800.691
1912,Peace,6753654,786800.691
1912,Physics,6753654,786800.691
1912,Physiology or Medicine,6753654,786800.691
1913,Chemistry,6875481,800993.5365
