awardYear,category,gender,fullName,laureateType,gender,birthCountryNow
1901,Chemistry,male,Jacobus Henricus van 't Hoff,Individual,male,Netherlands
1901,Literature,male,Sully Prudhomme,Individual,male,France
1901,Peace,male,FrÇdÇricˇPassy,Individual,male,France
1901,Peace,male,Jean Henry Dunant,Individual,male,Switzerland
1901,Physics,male,Wilhelm Conrad Rîntgen,Individual,male,Germany
1901,Physiology or Medicine,male,Emil Adolf von Behring,Individual,male,Poland
1902,Chemistry,male,Hermann Emil Fischer,Individual,male,Germany
1902,Literature,male,Christian Matthias Theodor Mommsen,Individual,male,Germany
1902,Peace,male,Charles Albert Gobat,Individual,male,Switzerland
1902,Peace,male,êlie Ducommun,Individual,male,Switzerland
1902,Physics,male,Hendrik Antoon Lorentz,Individual,male,Netherlands
1902,Physics,male,Pieter Zeeman,Individual,male,Netherlands
1902,Physiology or Medicine,male,Ronald Ross,Individual,male,India
1903,Chemistry,male,Svante August Arrhenius,Individual,male,Sweden
1903,Literature,male,Bjîrnson Bjîrnstjerne Martinus,Individual,male,Norway
1903,Peace,male,William Randal Cremer,Individual,male,United Kingdom
1903,Physics,male,Antoine Henri Becquerel,Individual,male,France
1903,Physics,female,MarieˇSalomeaˇSk?odowska?Curie,Individual,female,Poland
1903,Physics,male,Pierre Curie,Individual,male,France
1903,Physiology or Medicine,male,Niels Ryberg Finsen,Individual,male,Faroe Islands (Denmark)
1904,Chemistry,male,Sir William Ramsay,Individual,male,Scotland
1904,Literature,male,Joseph êtienne FrÇdÇric Mistral,Individual,male,France
1904,Literature,male,JosÇ Echegaray,Individual,male,Spain
1904,Peace,,,Organization,,
1904,Physics,male,Lord Rayleigh (John William Strutt),Individual,male,United Kingdom
1904,Physiology or Medicine,male,Ivan Petrovich Pavlov,Individual,male,Russia
1905,Chemistry,male,Johann Friedrich Wilhelm Adolf von Baeyer,Individual,male,Germany
1905,Literature,male,Henryk Sienkiewicz,Individual,male,Poland
1905,Peace,female,"Baroness Bertha Sophie Felicita von Suttner, n??e Countess Kinsky von Chinic und Tettau",Individual,female,Czech Republic
1905,Physics,male,Philipp Eduard Anton von Lenard,Individual,male,Slovakia
1905,Physiology or Medicine,male,Robert Koch,Individual,male,Germany
1906,Chemistry,male,Henri Moissan,Individual,male,France
1906,Literature,male,Giosuä Carducci,Individual,male,Italy
1906,Peace,male,Theodore Roosevelt Jr,Individual,male,United States of America
1906,Physics,male,Joseph John Thomson,Individual,male,United Kingdom
1906,Physiology or Medicine,male,Camillo Golgi,Individual,male,Italy
1906,Physiology or Medicine,male,Santiago Ram¢n y Cajal,Individual,male,Spain
1907,Chemistry,male,Eduard Buchner,Individual,male,Germany
1907,Literature,male,Rudyard Kipling,Individual,male,India
1907,Peace,male,Ernesto Teodoro Moneta,Individual,male,Italy
1907,Peace,male,Louis Renault,Individual,male,France
1907,Physics,male,Albert Abraham Michelson,Individual,male,Poland
1907,Physiology or Medicine,male,Charles Louis Alphonse Laveran,Individual,male,France
1908,Chemistry,male,Ernest Rutherford,Individual,male,New Zealand
1908,Literature,male,Rudolf Christoph Eucken,Individual,male,Germany
1908,Peace,male,Fredrik Bajer,Individual,male,Denmark
1908,Peace,male,Klas Pontus Arnoldson,Individual,male,Sweden
1908,Physics,male,Gabriel Lippmann,Individual,male,Luxembourg
1908,Physiology or Medicine,male,Ilya Ilyich Mechnikov,Individual,male,Ukraine
1908,Physiology or Medicine,male,Paul Ehrlich,Individual,male,Poland
1909,Chemistry,male,Wilhelm Ostwald,Individual,male,Latvia
1909,Literature,female,Selma Ottilia Lovisa Lagerlîf,Individual,female,Sweden
1909,Peace,male,Auguste Marie Franáois Beernaert,Individual,male,Belgium
1909,Peace,male,Paul Henri Balluet d'Estournelles de Constant,Individual,male,France
1909,Physics,male,Karl Ferdinand Braun,Individual,male,Germany
1909,Physics,male,Guglielmo Marconi,Individual,male,Italy
1909,Physiology or Medicine,male,Emil Theodor Kocher,Individual,male,Switzerland
1910,Chemistry,male,Otto Wallach,Individual,male,Russia
1910,Literature,male,Paul Johann Ludwig Heyse,Individual,male,Germany
1910,Peace,,,Organization,,
1910,Physics,male,Johannes Diderik van der Waals,Individual,male,Netherlands
1910,Physiology or Medicine,male,Albrecht Kossel,Individual,male,Germany
1911,Chemistry,female,MarieˇSalomeaˇSk?odowska?Curie,Individual,female,Poland
1911,Literature,male,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Individual,male,Belgium
1911,Peace,male,Alfred Hermann Fried,Individual,male,Austria
1911,Peace,male,Tobias Michael Carel Asser,Individual,male,Netherlands
1911,Physics,male,Wilhelm Wien,Individual,male,Russia
1911,Physiology or Medicine,male,Allvar Gullstrand,Individual,male,Sweden
1912,Chemistry,male,Paul Sabatier,Individual,male,France
1912,Chemistry,male,Victor Grignard,Individual,male,France
1912,Literature,male,Gerhart Johann Robert Hauptmann,Individual,male,Poland
1912,Peace,male,Elihu Root,Individual,male,United States of America
1912,Physics,male,Nils Gustaf Dal??n,Individual,male,Sweden
1912,Physiology or Medicine,male,Alexis Carrel,Individual,male,France
