category,prizeShare,,count
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Shared by 2 laureates,,1
Physics,Shared by 2 laureates,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Shared by 2 laureates,,1
Physics,Shared by 3 laureates,,1
Physics,Shared by 3 laureates,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Shared by 2 laureates,,1
Literature,Shared by 2 laureates,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Shared by 2 laureates,,1
Physiology or Medicine,Shared by 2 laureates,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Shared by 2 laureates,,1
Physiology or Medicine,Shared by 2 laureates,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Shared by 2 laureates,,1
Physics,Shared by 2 laureates,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Shared by 2 laureates,,1
Peace,Shared by 2 laureates,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Shared by 2 laureates,,1
Chemistry,Shared by 2 laureates,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
Physiology or Medicine,Awarded to 1 laureate,,1
Chemistry,Awarded to 1 laureate,,1
Literature,Awarded to 1 laureate,,1
Physics,Shared by 2 laureates,,1
Physics,Shared by 2 laureates,,1
Literature,Awarded to 1 laureate,,1
Literature,Shared by 2 laureates,,1
Literature,Shared by 2 laureates,,1
Peace,Awarded to 1 laureate,,1
Physics,Awarded to 1 laureate,,1
