awardYear,category,adjustedPrizePerLaureate
1901,Chemistry,8567159
1901,Literature,8567159
1901,Peace,4283579.5
1901,Peace,4283579.5
1901,Physics,8567159
1901,Physiology or Medicine,8567159
1902,Chemistry,8059489
1902,Literature,8059489
1902,Peace,4029744.5
1902,Peace,4029744.5
1902,Physics,4029744.5
1902,Physics,4029744.5
1902,Physiology or Medicine,8059489
1903,Chemistry,7795478
1903,Literature,7795478
1903,Peace,7795478
1903,Physics,3897739
1903,Physics,2598492.667
1903,Physics,2598492.667
1903,Physiology or Medicine,7795478
1904,Chemistry,7767960
1904,Literature,3883980
1904,Literature,3883980
1904,Peace,7767960
1904,Physics,7767960
1904,Physiology or Medicine,7767960
1905,Chemistry,7615202
1905,Literature,7615202
1905,Peace,7615202
1905,Physics,7615202
1905,Physiology or Medicine,7615202
1906,Chemistry,7421571
1906,Literature,7421571
1906,Peace,7421571
1906,Physics,7421571
1906,Physiology or Medicine,3710785.5
1906,Physiology or Medicine,3710785.5
1907,Chemistry,7033581
1907,Literature,7033581
1907,Peace,3516790.5
1907,Peace,3516790.5
1907,Physics,7033581
1907,Physiology or Medicine,7033581
1908,Chemistry,7084459
1908,Literature,7084459
1908,Peace,3542229.5
1908,Peace,3542229.5
1908,Physics,7084459
1908,Physiology or Medicine,3542229.5
1908,Physiology or Medicine,3542229.5
1909,Chemistry,7084459
1909,Literature,7084459
1909,Peace,3542229.5
1909,Peace,3542229.5
1909,Physics,3542229.5
1909,Physics,3542229.5
1909,Physiology or Medicine,7084459
1910,Chemistry,7130220
1910,Literature,7130220
1910,Peace,7130220
1910,Physics,7130220
1910,Physiology or Medicine,7130220
1911,Chemistry,7327865
1911,Literature,7327865
1911,Peace,3663932.5
1911,Peace,3663932.5
1911,Physics,7327865
1911,Physiology or Medicine,7327865
1912,Chemistry,3376827
1912,Chemistry,3376827
1912,Literature,6753654
1912,Peace,6753654
1912,Physics,6753654
1912,Physiology or Medicine,6753654
1913,Chemistry,6875481
1913,Literature,6875481
1913,Peace,6875481
1913,Physics,6875481
1913,Physiology or Medicine,6875481
1914,Chemistry,7062500
1914,Physics,7062500
1914,Physiology or Medicine,7062500
1915,Chemistry,6217625
1915,Literature,6217625
1915,Physics,3108812.5
1915,Physics,3108812.5
1916,Literature,4845331
1917,Literature,1960298
1917,Literature,1960298
1917,Peace,3920596
1917,Physics,3920596
1918,Chemistry,2847486
1918,Physics,2847486
1919,Literature,2377268
1919,Peace,2377268
1919,Physics,2377268
1919,Physiology or Medicine,2377268
1920,Chemistry,2394643
1920,Literature,2394643
1920,Peace,2394643
1920,Physics,2394643
1920,Physiology or Medicine,2394643
1921,Chemistry,2532771
1921,Literature,2532771
1921,Peace,1266385.5
1921,Peace,1266385.5
1921,Physics,2532771
1922,Chemistry,3145967
1922,Literature,3145967
1922,Peace,3145967
1922,Physics,3145967
1922,Physiology or Medicine,1572983.5
1922,Physiology or Medicine,1572983.5
1923,Chemistry,3169164
1923,Literature,3169164
1923,Physics,3169164
1923,Physiology or Medicine,1584582
1923,Physiology or Medicine,1584582
1924,Literature,3218355
1924,Physics,3218355
1924,Physiology or Medicine,3218355
1925,Chemistry,3211005
1925,Literature,3211005
1925,Peace,1605502.5
1925,Peace,1605502.5
1925,Physics,1605502.5
1925,Physics,1605502.5
1926,Chemistry,3273134
1926,Literature,3273134
1926,Peace,1636567
1926,Peace,1636567
1926,Physics,3273134
1926,Physiology or Medicine,3273134
1927,Chemistry,3593778
1927,Literature,3593778
1927,Peace,1796889
1927,Peace,1796889
1927,Physics,1796889
1927,Physics,1796889
1927,Physiology or Medicine,3593778
1928,Chemistry,4458494
1928,Literature,4458494
1928,Physics,4458494
1928,Physiology or Medicine,4458494
1929,Chemistry,2453977.5
1929,Chemistry,2453977.5
1929,Literature,4907955
1929,Peace,4907955
1929,Physics,4907955
1929,Physiology or Medicine,2453977.5
1929,Physiology or Medicine,2453977.5
1930,Chemistry,5066807
1930,Literature,5066807
1930,Peace,5066807
1930,Physics,5066807
1930,Physiology or Medicine,5066807
1931,Chemistry,2619042.5
1931,Chemistry,2619042.5
1931,Literature,5238085
1931,Peace,2619042.5
1931,Peace,2619042.5
1931,Physiology or Medicine,5238085
1932,Chemistry,5279293
1932,Literature,5279293
1932,Physics,5279293
1932,Physiology or Medicine,2639646.5
1932,Physiology or Medicine,2639646.5
1933,Literature,5413093
1933,Peace,5413093
1933,Physics,2706546.5
1933,Physics,2706546.5
1933,Physiology or Medicine,5413093
1934,Chemistry,5167627
1934,Literature,5167627
1934,Peace,5167627
1934,Physiology or Medicine,1722542.333
1934,Physiology or Medicine,1722542.333
1934,Physiology or Medicine,1722542.333
1935,Chemistry,2498703
1935,Chemistry,2498703
1935,Peace,4997406
1935,Physics,4997406
1935,Physiology or Medicine,4997406
1936,Chemistry,4913422
1936,Literature,4913422
1936,Peace,4913422
1936,Physics,2456711
1936,Physics,2456711
1936,Physiology or Medicine,2456711
1936,Physiology or Medicine,2456711
1937,Chemistry,2358080.5
1937,Chemistry,2358080.5
1937,Literature,4716161
1937,Peace,4716161
